id;part_type;producer;price;FK_id_repair
2120;Power steering hose;Gates;100;1765
2121;Alternator;Bosch;300;1780
2122;Shock absorber;KYB;75;1797
2123;Transmission shift solenoid;Rostra;75;1769
2124;Fuel filter;Wix;50;1773
2125;Exhaust hanger;Walker;25;1774
2126;Alternator;Bosch;300;1778
2127;Transmission filter;Fram;50;1782
2128;EGR valve gasket;Fel-Pro;25;1784
2129;Engine oil cooler;Dorman;75;1787
2130;EGR valve;Standard Motor Products;50;1792
2131;Headlight bulb;Philips;25;1793
2132;Control arm;Dorman;50;1796
2133;Windshield wipers;Rain-X;50;1800
2134;Wheel cylinder;Raybestos;50;1806
2135;Clutch kit;Exedy;200;1777
2136;Crankshaft position sensor;Beck/Arnley;50;1786
2137;Headlight bulb;Philips;25;1793
2138;Tire rotation;-;100;1793
2139;Headlight bulb;Philips;25;1778
2140;Brake pads;Brembo;200;1780
2141;Wheel bearing;SKF;50;1781
2142;Air filter;Fram;50;1790
2143;Transmission fluid cooler;Hayden;50;1804
2144;Water pump;Airtex;200;1805
2145;EGR valve gasket;Fel-Pro;25;1814
2146;Ball joint;Moog;50;1784
2147;Fuel pump;Delphi;150;1789
2148;Transmission shift solenoid;Rostra;75;1800
2149;Wheel alignment;-;400;1802
2150;Battery;AC Delco;350;1803
2151;Headlight assembly;TYC;100;1795
2152;Ignition control module;ACDelco;50;1814
2153;Ignition control module;ACDelco;50;1818
2154;Engine mount;DEA;50;1823
2155;Windshield wipers;Rain-X;50;1824
2156;Control arm bushing;Dorman;25;1826
2157;Catalytic converter;MagnaFlow;300;1794
2158;MAP sensor;Standard Motor Products;50;1799
2159;Camshaft position sensor;Dorman;100;1803
2160;Control arm bushing;Febi;50;1804
2161;Suspension strut;Monroe;200;1811
2162;Air filter;Fram;50;1821
2163;Exhaust manifold;Dorman;100;1797
2164;Fuel filter;Wix;50;1802
2165;Wheel bearing;SKF;50;1810
2166;Control arm;Moog;150;1812
2167;Wheel cylinder;Raybestos;50;1812
2168;Transmission mount;Westar;25;1814
2169;Fuel pump;Delphi;150;1825
2170;Transmission filter;Fram;50;1826
2171;Fuel pressure regulator;Delphi;25;1832
2172;Shock absorber;KYB;75;1835
2173;Transmission control module;ACDelco;200;1804
2174;Fuel tank;Spectra Premium;200;1816
2175;Brake fluid flush;Castrol;100;1827
2176;Tie rod end;Mevotech;50;1828
2177;Air filter;Fram;50;1829
2178;Brake master cylinder;Centric;100;1835
2179;Wheel lug nuts;Dorman;25;1809
2180;Fuel tank;Spectra Premium;200;1811
2181;Axle shaft;A1 Cardone;100;1822
2182;Wheel hub assembly;Timken;200;1831
2183;Water pump;Airtex;200;1832
2184;Radiator fan assembly;TYC;100;1840
2185;Headlight bulb;Philips;25;1823
2186;EGR valve;ACDelco;75;1839
2187;Water pump;Airtex;200;1825
2188;Ignition switch;ACDelco;50;1831
2189;Throttle body;Dorman;75;1833
2190;Alternator;Bosch;300;1833
2191;Brake master cylinder;Centric;100;1842
2192;Transmission control module;ACDelco;200;1851
2193;Suspension strut;Monroe;200;1826
2194;Transmission filter;Fram;50;1829
2195;Tire rotation;-;100;1831
2196;Mass airflow sensor;Spectra Premium;150;1840
2197;Transmission speed sensor;ACDelco;25;1847
2198;Radiator;Denso;350;1860
2199;Mass airflow sensor;Spectra Premium;150;1861
2200;Axle shaft;A1 Cardone;100;1861
2201;Transmission shift cable;Pioneer Cables;50;1864
2202;Transmission mount;Westar;25;1842
2203;Transmission filter;Fram;50;1848
2204;Oxygen sensor;Bosch;150;1849
2205;Throttle body;Dorman;75;1864
2206;Wheel cylinder;Raybestos;50;1866
2207;Wheel hub assembly;Timken;200;1844
2208;Transmission shift cable;Pioneer Cables;50;1848
2209;Transmission filter;Fram;50;1874
2210;Power steering hose;Gates;100;1851
2211;Fuel filter;Wix;50;1856
2212;Oxygen sensor;Bosch;150;1857
2213;Control arm;Dorman;50;1861
2214;Wheel bearing;SKF;50;1847
2215;MAP sensor;Standard Motor Products;50;1847
2216;Crankshaft position sensor;Beck/Arnley;50;1850
2217;MAP sensor;Standard Motor Products;50;1858
2218;Transmission speed sensor;ACDelco;25;1862
2219;Brake caliper;Cardone;50;1867
2220;Control arm bushing;Dorman;25;1869
2221;Battery;AC Delco;350;1876
2222;Clutch kit;Exedy;200;1849
2223;Alternator;Bosch;300;1849
2224;Crankshaft position sensor;Beck/Arnley;50;1860
2225;Transmission control module;ACDelco;200;1866
2226;Control arm bushing;Febi;50;1872
2227;Transmission speed sensor;ACDelco;25;1872
2228;Transmission fluid cooler;Hayden;50;1874
2229;Brake fluid flush;Castrol;100;1877
2230;Mass airflow sensor;Spectra Premium;150;1881
2231;Shock absorber;KYB;75;1856
2232;Transmission shift cable;Pioneer Cables;50;1858
2233;Oil change;Mobil 1;150;1869
2234;Radiator;Denso;350;1873
2235;Ignition switch;ACDelco;50;1883
2236;Transmission shift cable;Pioneer Cables;50;1888
2237;Mass airflow sensor;Spectra Premium;150;1862
2238;Engine mount;DEA;50;1897
2239;Fuel pump;Delphi;150;1869
2240;Water pump;Airtex;200;1876
2241;Thermostat;Stant;50;1900
2242;Wheel bearing;SKF;50;1901
2243;Engine mount;DEA;50;1870
2244;Transmission fluid change;Valvoline;200;1874
2245;Engine mount;DEA;50;1883
2246;Radiator fan assembly;TYC;100;1886
2247;PCV valve;Standard Motor Products;25;1888
2248;Exhaust manifold;Dorman;100;1894
2249;Transmission shift cable;Pioneer Cables;50;1880
2250;Engine mount;DEA;50;1884
2251;Ignition switch;Standard Motor Products;25;1885
2252;Transmission shift cable;Pioneer Cables;50;1893
2253;Transmission mount;Westar;25;1893
2254;Windshield wipers;Rain-X;50;1897
2255;EGR valve gasket;Fel-Pro;25;1899
2256;Mass airflow sensor;Spectra Premium;150;1902
2257;Crankshaft position sensor;Beck/Arnley;50;1916
2258;Ignition coil;Delphi;100;1920
2259;Exhaust manifold;Dorman;100;1894
2260;Fuel tank;Spectra Premium;200;1910
2261;Exhaust manifold;Dorman;100;1913
2263;Suspension strut;Monroe;200;1895
2263;Suspension strut;Monroe;200;1895
2264;Transmission filter;Fram;50;1905
2265;Engine control module;A1 Cardone;200;1919
2266;Suspension strut;Monroe;200;1922
2267;Drive belt;Gates;25;1927
2268;Alternator;Bosch;300;1915
2269;EGR valve;ACDelco;75;1925
2270;Catalytic converter;MagnaFlow;300;1929
2271;Brake rotor;Centric;100;1906
2272;Transmission mount;Anchor;50;1909
2273;Transmission speed sensor;ACDelco;25;1910
2274;Wheel cylinder;Raybestos;50;1936
2275;Crankshaft position sensor;Beck/Arnley;50;1914
2276;Transmission mount;Anchor;50;1917
2277;Brake master cylinder;Centric;100;1920
2278;Blower motor;TYC;75;1913
2279;Transmission fluid change;Valvoline;200;1913
2280;Fuel tank;Spectra Premium;200;1934
2281;Muffler;Walker;100;1934
2282;Control arm;Moog;75;1937
2283;Brake pads;Brembo;200;1947
2284;Spark plugs;NGK;25;1949
2285;Brake rotor;Centric;100;1919
2286;Blower motor;TYC;75;1921
2287;Water pump;Airtex;200;1925
2288;Ignition control module;ACDelco;50;1928
2289;Oil change;Mobil 1;150;1932
2290;Headlight assembly;TYC;100;1933
2291;Brake rotor;Centric;100;1949
2292;Axle shaft;A1 Cardone;100;1952
2293;Drive belt;Gates;25;1932
2294;Transmission mount;Anchor;50;1950
2295;Engine oil cooler;Dorman;75;1954
2296;Engine control module;A1 Cardone;200;1955
2297;Exhaust manifold;Dorman;100;1957
2298;Ignition switch;Standard Motor Products;25;1931
2299;Transmission pan gasket;Fel-Pro;25;1938
2300;Fuel pump;Delphi;150;1947
2301;Throttle body;Dorman;75;1961
2302;Transmission mount;Westar;25;1933
2303;Wheel lug nuts;Dorman;25;1958
2304;PCV valve;Standard Motor Products;25;1960
2305;Radiator fan assembly;TYC;100;1962
2306;Wheel lug nuts;Dorman;25;1963
2307;Transmission shift cable;Pioneer Cables;50;1968
2308;Axle shaft;A1 Cardone;100;1937
2309;Fuel tank;Spectra Premium;200;1938
2310;Wheel bearing;SKF;50;1939
2311;Headlight assembly;TYC;100;1940
2312;Ignition coil;Delphi;100;1942
2313;Transmission fluid change;Valvoline;200;1950
2314;Brake pads;Brembo;200;1953
2315;Mass airflow sensor;Spectra Premium;150;1955
2316;Ball joint;Moog;50;1964
2317;Blower motor;TYC;75;1964
2318;PCV valve;Standard Motor Products;25;1945
2319;Transmission mount;Anchor;50;1953
2320;Transmission shift solenoid;Rostra;75;1958
2321;Wheel alignment;-;400;1968
2322;Windshield wipers;Rain-X;50;1969
2323;Headlight assembly;TYC;100;1975
2324;Oxygen sensor;Bosch;150;1975
2325;Camshaft position sensor;Dorman;100;1976
2326;Control arm bushing;Dorman;25;1980
2327;Control arm bushing;Dorman;25;1981
2328;Engine oil cooler;Dorman;75;1951
2329;Thermostat;Stant;50;1952
2330;Clutch kit;Exedy;200;1954
2331;Transmission pan gasket;Fel-Pro;25;1956
2332;Camshaft position sensor;Dorman;100;1962
2333;Ignition coil;Bosch;50;1963
2334;Thermostat;Stant;50;1974
2335;Fuel filter;Wix;50;1978
2336;Brake pads;Brembo;200;1979
2337;Ignition control module;ACDelco;50;1987
2338;Transmission speed sensor;ACDelco;25;1989
2339;Mass airflow sensor;Spectra Premium;150;1965
2340;Power steering pump;Cardone;150;1967
2341;Fuel injector;Bosch;100;1969
2342;Oil change;Mobil 1;150;1979
2343;MAP sensor;Standard Motor Products;50;1984
2344;Ignition coil;Delphi;100;1985
2345;Transmission shift solenoid;Rostra;75;1962
2346;Engine oil cooler;Dorman;75;1979
2347;Control arm;Dorman;50;1985
2348;Blower motor;TYC;75;1992
2349;Drive belt;Gates;25;2000
2350;Thermostat;Stant;50;2002
2351;Transmission mount;Westar;25;1968
2352;Headlight assembly;TYC;100;1982
2353;Transmission mount;Westar;25;1993
2354;Oil change;Mobil 1;150;2005
2355;Control arm bushing;Febi;50;1974
2356;Spark plugs;NGK;25;1974
2357;Water pump;Airtex;200;1991
2358;Transmission mount;Westar;25;1997
2359;Fuel tank filler neck;Dorman;50;2001
2360;Engine control module;A1 Cardone;200;2002
2361;Tie rod end;Mevotech;50;2003
2362;Engine mount;DEA;50;1984
2363;Drive belt;Gates;25;1989
2364;Transmission mount;Westar;25;1991
2365;Ignition switch;ACDelco;50;1993
2366;Oxygen sensor;Bosch;150;1994
2367;Headlight bulb;Philips;25;2001
2368;Control arm bushing;Dorman;25;2004
2369;Throttle body;Dorman;75;2014
2370;Exhaust manifold;Dorman;100;1986
2371;Control arm bushing;Dorman;25;1986
2372;Engine oil cooler;Dorman;75;1989
2373;Control arm bushing;Dorman;25;1992
2374;Transmission shift solenoid;Rostra;75;1993
2375;CV joint;GSP;100;1995
2376;MAP sensor;Standard Motor Products;50;1999
2377;Fuel tank filler neck;Dorman;50;2000
2378;Fuel filter;Wix;50;2010
2379;Camshaft position sensor;Dorman;100;2019
2380;MAP sensor;Standard Motor Products;50;1992
2381;Thermostat;Stant;50;2005
2382;EGR valve gasket;Fel-Pro;25;2006
2383;Control arm;Moog;150;2008
2384;Wheel bearing;SKF;50;2008
2385;Serpentine belt;Gates;75;2018
2386;Tire rotation;-;100;1995
2387;Oil change;Mobil 1;150;1995
2388;Exhaust hanger;Walker;25;1999
2389;CV joint;GSP;100;2004
2390;Transmission shift solenoid;Rostra;75;2012
2391;Brake fluid flush;Castrol;100;2020
2392;Control arm bushing;Dorman;25;2022
2393;Air filter;Fram;50;2030
2395;Alternator;Bosch;300;1998
2395;Alternator;Bosch;300;1998
2396;Transmission control module;ACDelco;200;2003
2397;Engine control module;A1 Cardone;200;2006
2398;Ball joint;Moog;50;2014
2399;Control arm;Moog;75;2019
2400;Fuel filter;Wix;50;2031
2401;Shock absorber;KYB;75;2034
2402;Shock absorber;KYB;75;2035
2403;Exhaust manifold;Dorman;100;2040
2404;Headlight assembly;TYC;100;2011
2405;EGR valve gasket;Fel-Pro;25;2013
2406;Ignition coil;Delphi;100;2015
2407;Brake pads;Brembo;200;2020
2408;Alternator;Bosch;300;2024
2409;Mass airflow sensor;Spectra Premium;150;2028
2410;Power steering hose;Gates;100;2029
2411;Tire rotation;-;100;2012
2412;Spark plugs;NGK;25;2018
2413;Battery;AC Delco;350;2023
2414;Transmission mount;Westar;25;2024
2415;Power steering hose;Gates;100;2036
2416;Alternator;Bosch;300;2038
2417;Control arm bushing;Febi;50;2041
2418;Muffler;Walker;100;2020
2419;Transmission shift cable;Pioneer Cables;50;2022
2420;Transmission fluid cooler;Hayden;50;2024
2421;Spark plugs;NGK;25;2025
2422;Fuel tank;Spectra Premium;200;2033
2423;Brake caliper;Cardone;50;2042
2424;Alternator;Bosch;300;2050
2425;Axle shaft;A1 Cardone;100;2025
2426;EGR valve gasket;Fel-Pro;25;2030
2427;Fuel pressure regulator;Delphi;25;2035
2428;Clutch kit;Exedy;200;2038
2429;Control arm;Moog;75;2049
2430;Shock absorber;KYB;75;2059
2431;Muffler;Walker;100;2033
2432;Fuel pump;Delphi;150;2043
2433;Control arm;Dorman;50;2044
2434;Brake pads;Brembo;200;2047
2435;Muffler;Walker;100;2060
2436;Radiator fan assembly;TYC;100;2061
2437;Brake pads;Brembo;200;2036
2438;EGR valve;ACDelco;75;2045
2439;Fuel tank;Spectra Premium;200;2045
2440;Control arm;Dorman;50;2048
2441;Spark plugs;NGK;25;2055
2442;Engine mount;DEA;50;2043
2443;PCV valve;Standard Motor Products;25;2046
2444;Transmission mount;Westar;25;2047
2445;Oil change;Mobil 1;150;2052
2446;Muffler;Walker;100;2054
2447;Transmission filter;Fram;50;2060
2448;Brake master cylinder;Centric;100;2046
2449;Control arm;Dorman;50;2054
2450;Crankshaft position sensor;Beck/Arnley;50;2056
2451;Transmission mount;Anchor;50;2059
2452;Transmission fluid change;Valvoline;200;2062
2453;EGR valve;ACDelco;75;2070
2454;Throttle body;Dorman;75;2071
2455;Ignition coil;Delphi;100;2047
2456;Spark plugs;NGK;25;2050
2457;Ignition switch;ACDelco;50;2059
2458;Fuel tank;Spectra Premium;200;2060
2459;Transmission mount;Westar;25;2069
2460;Control arm bushing;Febi;50;2074
2461;Control arm;Moog;150;2075
2462;Tie rod end;Mevotech;50;2079
2463;EGR valve;ACDelco;75;2063
2464;Control arm;Moog;75;2073
2465;EGR valve;Standard Motor Products;50;2075
2466;Tie rod end;Mevotech;50;2079
2467;Transmission shift solenoid;Rostra;75;2085
2468;Thermostat;Stant;50;2088
2469;Oil change;Mobil 1;150;2054
2470;Wheel cylinder;Raybestos;50;2056
2471;Serpentine belt;Gates;75;2065
2472;CV joint;GSP;100;2067
2473;Transmission fluid change;Valvoline;200;2068
2474;Camshaft position sensor;Dorman;100;2085
2475;Ignition switch;ACDelco;50;2093
2476;Transmission shift solenoid;Rostra;75;2062
2477;CV joint;GSP;100;2070
2478;Oil change;Mobil 1;150;2083
2479;Air filter;Fram;50;2084
2480;MAP sensor;Standard Motor Products;50;2084
2481;Fuel injector;Bosch;100;2088
2482;Power steering hose;Gates;100;2102
2483;Wheel hub assembly;Timken;200;2067
2484;Drive belt;Gates;25;2086
2485;Battery;AC Delco;350;2094
2486;EGR valve gasket;Fel-Pro;25;2103
2491;PCV valve;Standard Motor Products;25;2082
2488;Brake pads;Brembo;200;2076
2489;Water pump;Airtex;200;2076
2490;Ignition coil;Bosch;50;2079
2491;PCV valve;Standard Motor Products;25;2082
2492;Fuel injector;Bosch;100;2089
2493;Fuel filter;Wix;50;2092
2495;MAP sensor;Standard Motor Products;50;2082
2495;MAP sensor;Standard Motor Products;50;2082
2496;Transmission filter;Fram;50;2088
2497;Control arm bushing;Febi;50;2099
2498;Ball joint;Moog;50;2100
2499;Ignition switch;ACDelco;50;2101
2500;Transmission shift solenoid;Rostra;75;2107
2501;MAP sensor;Standard Motor Products;50;2108
2502;Oxygen sensor;Bosch;150;2116
2503;Ignition coil;Bosch;50;2116
2504;Alternator;Bosch;300;2117
2505;EGR valve;Standard Motor Products;50;2084
2506;Air filter;Fram;50;2095
2507;Fuel pressure regulator;Delphi;25;2097
2508;Control arm;Moog;150;2115
2509;Suspension strut;Monroe;200;2117
2510;Fuel injector;Bosch;100;2122
2511;Power steering pump;Cardone;150;2089
2512;Thermostat;Stant;50;2095
2513;Throttle body;Dorman;75;2101
2514;Fuel filter;Wix;50;2107
2515;Tire rotation;-;100;2115
2516;Control arm;Dorman;50;2118
2517;Transmission filter;Fram;50;2115
2518;CV joint;GSP;100;2097
2519;Crankshaft position sensor;Beck/Arnley;50;2098
2520;Control arm;Moog;150;2103
2521;Radiator fan assembly;TYC;100;2109
2522;Fuel pump;Delphi;150;2131
2523;Fuel pump;Delphi;150;2132
2524;Spark plugs;NGK;25;2135
2526;Axle shaft;A1 Cardone;100;2104
2526;Axle shaft;A1 Cardone;100;2104
2527;CV joint;GSP;100;2112
2528;Ball joint;Moog;50;2123
2529;EGR valve;ACDelco;75;2124
2530;Engine oil cooler;Dorman;75;2133
2531;Wheel bearing;SKF;50;2135
2532;Control arm bushing;Febi;50;2121
2533;Transmission fluid cooler;Hayden;50;2126
2534;Engine oil cooler;Dorman;75;2127
2535;Exhaust hanger;Walker;25;2116
2536;Power steering hose;Gates;100;2125
2537;Wheel hub assembly;Timken;200;2131
2538;Clutch kit;Exedy;200;2133
2539;Exhaust hanger;Walker;25;2142
2540;Catalytic converter;MagnaFlow;300;2145
2541;Thermostat;Stant;50;2150
2542;Control arm;Moog;150;2150
2543;Brake pads;Brembo;200;2119
2544;Engine oil cooler;Dorman;75;2120
2545;Catalytic converter;MagnaFlow;300;2149
2546;Control arm bushing;Dorman;25;2129
2547;Axle shaft;A1 Cardone;100;2131
2548;Axle shaft;A1 Cardone;100;2137
2549;Suspension strut;Monroe;200;2143
2550;Fuel pump;Delphi;150;2130
2551;Muffler;Walker;100;2136
2552;Fuel tank;Spectra Premium;200;2157
2553;Wheel hub assembly;Timken;200;2158
2554;Battery;AC Delco;350;2159
2555;MAP sensor;Standard Motor Products;50;2163
2556;Ignition switch;ACDelco;50;2144
2557;Radiator;Denso;350;2147
2558;Brake fluid flush;Castrol;100;2151
2559;Brake caliper;Cardone;50;2153
2560;Wheel alignment;-;400;2144
2561;Windshield wipers;Rain-X;50;2154
2562;Battery;AC Delco;350;2163
2563;Catalytic converter;MagnaFlow;300;2169
2564;Transmission control module;ACDelco;200;2177
2565;Tie rod end;Mevotech;50;2144
2566;Brake pads;Brembo;200;2149
2567;Fuel tank;Spectra Premium;200;2151
2568;Air filter;Fram;50;2154
2569;Wheel cylinder;Raybestos;50;2159
2570;Fuel tank;Spectra Premium;200;2160
2571;Ignition switch;Standard Motor Products;25;2164
2572;Control arm;Dorman;50;2170
2573;Wheel lug nuts;Dorman;25;2176
2574;Catalytic converter;MagnaFlow;300;2177
2575;EGR valve;ACDelco;75;2180
2576;Suspension strut;Monroe;200;2151
2577;Transmission mount;Anchor;50;2158
2578;Transmission speed sensor;ACDelco;25;2161
2579;Serpentine belt;Gates;75;2169
2580;Brake caliper;Cardone;50;2171
2581;Power steering hose;Gates;100;2172
2582;EGR valve;ACDelco;75;2175
2583;EGR valve gasket;Fel-Pro;25;2156
2584;Tie rod end;Mevotech;50;2164
2585;EGR valve gasket;Fel-Pro;25;2171
2586;Ball joint;Moog;50;2172
2587;Control arm bushing;Dorman;25;2177
2588;EGR valve gasket;Fel-Pro;25;2180
2589;Drive belt;Gates;25;2180
2590;Transmission shift solenoid;Rostra;75;2181
2591;Headlight assembly;TYC;100;2188
2592;Brake master cylinder;Centric;100;2190
2593;Transmission control module;ACDelco;200;2193
2594;Exhaust hanger;Walker;25;2160
2595;Fuel pump;Delphi;150;2164
2596;PCV valve;Standard Motor Products;25;2167
2597;Control arm;Moog;75;2185
2598;Headlight bulb;Philips;25;2172
2599;Control arm;Dorman;50;2182
2600;Ball joint;Moog;50;2183
2601;Transmission fluid cooler;Hayden;50;2201
2602;Fuel filter;Wix;50;2206
2603;Oil change;Mobil 1;150;2174
2604;Ignition switch;ACDelco;50;2174
2605;Water pump;Airtex;200;2175
2606;Transmission filter;Fram;50;2187
2607;Tire rotation;-;100;2192
2608;Radiator;Denso;350;2196
2609;Headlight bulb;Philips;25;2206
2610;Transmission control module;ACDelco;200;2212
2611;Shock absorber;KYB;75;2183
2612;Control arm bushing;Febi;50;2184
2613;Transmission speed sensor;ACDelco;25;2205
2614;EGR valve gasket;Fel-Pro;25;2209
2615;Tire rotation;-;100;2214
2616;PCV valve;Standard Motor Products;25;2215
2617;Battery;AC Delco;350;2189
2618;Water pump;Airtex;200;2194
2619;Brake caliper;Cardone;50;2198
2620;Exhaust manifold;Dorman;100;2213
2621;Windshield wipers;Rain-X;50;2190
2622;Transmission control module;ACDelco;200;2191
2623;Headlight assembly;TYC;100;2194
2624;Exhaust hanger;Walker;25;2211
2625;EGR valve;Standard Motor Products;50;2212
2626;Transmission mount;Westar;25;2220
2627;Fuel tank filler neck;Dorman;50;2221
2628;Fuel tank filler neck;Dorman;50;2225
2629;Engine mount;DEA;50;2226
2630;Fuel pressure regulator;Delphi;25;2203
2631;Water pump;Airtex;200;2210
2632;Tire rotation;-;100;2211
2633;Transmission fluid cooler;Hayden;50;2211
2634;Wheel hub assembly;Timken;200;2209
2635;Wheel cylinder;Raybestos;50;2222
2636;Thermostat;Stant;50;2226
2637;Oil change;Mobil 1;150;2233
2638;Serpentine belt;Gates;75;2205
2639;Drive belt;Gates;25;2206
2640;Engine control module;A1 Cardone;200;2217
2641;Headlight assembly;TYC;100;2217
2642;Power steering pump;Cardone;150;2224
2643;Transmission control module;ACDelco;200;2240
2644;Mass airflow sensor;Spectra Premium;150;2242
2645;Wheel lug nuts;Dorman;25;2214
2646;Suspension strut;Monroe;200;2223
2647;Exhaust hanger;Walker;25;2235
2648;Wheel lug nuts;Dorman;25;2214
2649;Axle shaft;A1 Cardone;100;2217
2650;Fuel tank;Spectra Premium;200;2225
2651;Muffler;Walker;100;2226
2652;Blower motor;TYC;75;2229
2653;Control arm bushing;Dorman;25;2229
2654;Brake fluid flush;Castrol;100;2230
2655;Shock absorber;KYB;75;2234
2656;Tie rod end;Mevotech;50;2245
2657;Transmission filter;Fram;50;2247
2658;Camshaft position sensor;Dorman;100;2249
2659;Oxygen sensor;Bosch;150;2222
2660;Windshield wipers;Rain-X;50;2223
2661;Ignition switch;ACDelco;50;2237
2662;Tire rotation;-;100;2242
2663;Exhaust hanger;Walker;25;2243
2664;Battery;AC Delco;350;2244
2665;Ignition switch;ACDelco;50;2254
2667;Air filter;Fram;50;2241
2667;Air filter;Fram;50;2241
2668;Oxygen sensor;Bosch;150;2260
2669;Fuel filter;Wix;50;2235
2670;Power steering hose;Gates;100;2239
2671;Fuel pressure regulator;Delphi;25;2255
2672;Spark plugs;NGK;25;2234
2673;Engine mount;DEA;50;2239
2674;Radiator;Denso;350;2243
2675;Radiator fan assembly;TYC;100;2245
2676;Ignition control module;ACDelco;50;2263
2677;Engine mount;DEA;50;2269
2678;Alternator;Bosch;300;2242
2679;Ignition switch;ACDelco;50;2249
2680;Engine mount;DEA;50;2274
2681;Brake fluid flush;Castrol;100;2276
2682;Throttle body;Dorman;75;2260
2683;Transmission shift cable;Pioneer Cables;50;2264
2684;Transmission shift cable;Pioneer Cables;50;2266
2685;Transmission control module;ACDelco;200;2266
2686;Transmission shift solenoid;Rostra;75;2257
2687;Transmission filter;Fram;50;2264
2688;Ignition coil;Bosch;50;2280
2689;Camshaft position sensor;Dorman;100;2261
2690;Ignition switch;ACDelco;50;2263
2691;Oil change;Mobil 1;150;2276
2692;Ignition switch;ACDelco;50;2277
2693;Exhaust manifold;Dorman;100;2279
2694;Headlight bulb;Philips;25;2284
2695;Blower motor;TYC;75;2267
2696;Radiator fan assembly;TYC;100;2279
2697;Suspension strut;Monroe;200;2287
2698;CV joint;GSP;100;2288
2699;Brake master cylinder;Centric;100;2296
2700;Ball joint;Moog;50;2303
2701;Transmission pan gasket;Fel-Pro;25;2268
2702;Axle shaft;A1 Cardone;100;2280
2703;Water pump;Airtex;200;2291
2704;Thermostat;Stant;50;2306
2705;Brake master cylinder;Centric;100;2274
2706;Ignition control module;ACDelco;50;2276
2707;Transmission fluid cooler;Hayden;50;2279
2708;Engine mount;DEA;50;2290
2709;Fuel pump;Delphi;150;2292
2710;Ignition switch;ACDelco;50;2301
2711;Radiator;Denso;350;2277
2712;Brake pads;Brembo;200;2281
2713;Fuel tank;Spectra Premium;200;2303
2714;Battery;AC Delco;350;2315
2715;Blower motor;TYC;75;2317
2716;Axle shaft;A1 Cardone;100;2288
2717;Ball joint;Moog;50;2288
2718;Fuel filter;Wix;50;2289
2719;Brake caliper;Cardone;50;2294
2720;Radiator fan assembly;TYC;100;2305
2721;Battery;AC Delco;350;2306
2722;Tire rotation;-;100;2308
2723;Ignition coil;Delphi;100;2292
2724;Transmission mount;Anchor;50;2295
2725;Wheel bearing;SKF;50;2295
2726;Transmission mount;Westar;25;2295
2727;Brake master cylinder;Centric;100;2297
2728;Drive belt;Gates;25;2298
2729;Wheel hub assembly;Timken;200;2305
2730;Wheel alignment;-;400;2310
2731;Transmission mount;Anchor;50;2310
2732;Ignition coil;Bosch;50;2319
2733;Fuel filter;Wix;50;2328
2734;Brake rotor;Centric;100;2293
2735;EGR valve gasket;Fel-Pro;25;2301
2736;EGR valve;ACDelco;75;2306
2737;Wheel cylinder;Raybestos;50;2314
2738;Transmission speed sensor;ACDelco;25;2314
2739;Control arm bushing;Febi;50;2319
2740;Radiator;Denso;350;2320
2741;Radiator fan assembly;TYC;100;2324
2742;Wheel bearing;SKF;50;2326
2743;Wheel lug nuts;Dorman;25;2330
2744;Thermostat;Stant;50;2304
2745;Ignition coil;Delphi;100;2317
2746;Transmission mount;Anchor;50;2325
2747;Wheel cylinder;Raybestos;50;2330
2748;Control arm;Dorman;50;2332
2749;Wheel hub assembly;Timken;200;2313
2750;Exhaust hanger;Walker;25;2320
2751;Oxygen sensor;Bosch;150;2322
2752;EGR valve gasket;Fel-Pro;25;2323
2753;Control arm;Dorman;50;2327
2754;Exhaust hanger;Walker;25;2327
2755;Transmission control module;ACDelco;200;2329
2756;Serpentine belt;Gates;75;2341
2757;Engine oil cooler;Dorman;75;2312
2758;Control arm bushing;Dorman;25;2322
2759;Wheel alignment;-;400;2331
2760;Ignition coil;Delphi;100;2346
2761;Transmission fluid cooler;Hayden;50;2316
2762;Control arm;Moog;150;2316
2763;Water pump;Airtex;200;2330
2764;Wheel hub assembly;Timken;200;2343
2765;Transmission mount;Anchor;50;2350
2766;Headlight bulb;Philips;25;2325
2767;Ignition coil;Delphi;100;2334
2768;Drive belt;Gates;25;2338
2769;Radiator fan assembly;TYC;100;2345
2770;Muffler;Walker;100;2349
2771;Camshaft position sensor;Dorman;100;2338
2772;Brake rotor;Centric;100;2339
2773;Water pump;Airtex;200;2345
2774;Transmission shift cable;Pioneer Cables;50;2347
2775;Fuel pump;Delphi;150;2351
2776;Radiator;Denso;350;2356
2777;Shock absorber;KYB;75;2329
2778;Ignition control module;ACDelco;50;2337
2779;Ignition control module;ACDelco;50;2354
2780;Control arm;Moog;75;2354
2781;Transmission speed sensor;ACDelco;25;2369
2782;Blower motor;TYC;75;2339
2783;Headlight bulb;Philips;25;2348
2784;Throttle body;Dorman;75;2351
2785;Brake caliper;Cardone;50;2358
2786;Oil change;Mobil 1;150;2360
2787;Tire rotation;-;100;2376
2788;Camshaft position sensor;Dorman;100;2346
2789;Thermostat;Stant;50;2346
2790;Fuel pump;Delphi;150;2357
2791;Transmission speed sensor;ACDelco;25;2360
2792;Muffler;Walker;100;2365
2793;Power steering hose;Gates;100;2369
2794;Engine control module;A1 Cardone;200;2349
2795;Suspension strut;Monroe;200;2351
2796;Ignition control module;ACDelco;50;2354
